Year;Unit;Country;Month;value
2018;usd/sqm;Mauritius;01;N/A
2018;usd/sqm;Mexico;01;60,96
2018;usd/sqm;Namibia;01;N/A
2018;usd/sqm;Philippines;01;N/A
2018;usd/sqm;Portugal;01;96,1
2018;usd/sqm;Romania;01;N/A
2018;usd/sqm;Singapore;01;N/A
2018;usd/sqm;South Korea;01;129,23
2018;usd/sqm;Spain;01;108,06
2018;usd/sqm;Taiwan;01;N/A
2018;usd/sqm;Thailand;01;N/A
2018;usd/sqm;Turkey;01;80,77
2018;usd/sqm;United Kingdom;01;N/A
2018;usd/sqm;Vietnam;01;122,65
2019;usd/sqm;Algeria;01;N/A
2019;usd/sqm;Belgium;01;77,58
2019;usd/sqm;Brazil;01;89,2
2019;usd/sqm;Canada;01;115,29
2019;usd/sqm;China;01;64,06
2019;usd/sqm;Czechia;01;75,22
2019;usd/sqm;Dominican Rep;01;N/A
2019;usd/sqm;Egypt;01;N/A
2019;usd/sqm;Estonia;01;N/A
2019;usd/sqm;Germany;01;88,05
2019;usd/sqm;Greece;01;N/A
2019;usd/sqm;Guatemala;01;N/A
2019;usd/sqm;Hong Kong;01;N/A
2019;usd/sqm;India;01;66,78
2019;usd/sqm;Indonesia;01;N/A
2019;usd/sqm;Ireland;01;N/A
2019;usd/sqm;Israel;01;100,14
2019;usd/sqm;Italy;01;107,56
2019;usd/sqm;Japan;01;N/A
2019;usd/sqm;Malaysia;01;40,39
2019;usd/sqm;Mexico;01;38,14
2019;usd/sqm;Netherlands;01;N/A
2019;usd/sqm;Norway;01;N/A
2019;usd/sqm;Oman;01;78,66
2019;usd/sqm;Pakistan;01;N/A
2019;usd/sqm;Philippines;01;95,08
2019;usd/sqm;Poland;01;N/A
2019;usd/sqm;Portugal;01;81,6
2019;usd/sqm;Romania;01;N/A
2019;usd/sqm;Singapore;01;N/A
2019;usd/sqm;South Africa;01;N/A
2019;usd/sqm;South Korea;01;67,23
2019;usd/sqm;Spain;01;108,92
2019;usd/sqm;Sri Lanka;01;N/A
2019;usd/sqm;Taiwan;01;84,02
2019;usd/sqm;Thailand;01;66,63
2019;usd/sqm;Tokelau Is;01;N/A
2019;usd/sqm;Turkey;01;82,19
2019;usd/sqm;United Arab Em;01;N/A
2019;usd/sqm;United Kingdom;01;N/A
2019;usd/sqm;Vatican City;01;N/A
2019;usd/sqm;Vietnam;01;118,6
